station,站名,lon,lat
57767,隆回,111.03333333333333,27.116666666666667
57768,新邵,111.45,27.316666666666666
57769,邵东,111.73333333333333,27.233333333333334
57771,韶山,112.53333333333333,27.933333333333334
57772,湘乡,112.5,27.75
57773,湘潭,112.81666666666666,27.866666666666667
57774,双峰,112.16666666666667,27.45
57776,南岳,112.7,27.3
57777,衡山,112.86666666666666,27.233333333333334
57778,衡东,112.95,27.1
57779,攸县,113.35,27.0
57780,株洲,113.16666666666667,27.866666666666667
57781,醴陵,113.5,27.65
57841,靖州,109.66666666666667,26.566666666666666
57842,会同,109.68333333333334,26.883333333333333
57845,通道,109.78333333333333,26.166666666666668
57846,绥宁,110.15,26.583333333333332
57851,新宁,110.85,26.45
57853,武冈,110.63333333333334,26.733333333333334
57857,城步,110.31666666666666,26.366666666666667
57860,邵阳县,111.26666666666667,27.0
57865,冷水滩,111.56666666666666,26.416666666666668
57866,永州,111.61666666666666,26.233333333333334
57867,东安,111.28333333333333,26.4
57868,祁阳,111.86666666666666,26.6
57870,祁东,112.1,26.8
57871,衡阳县,112.36666666666666,26.983333333333334
57872,衡阳,112.6,26.9
57874,常宁,112.4,26.416666666666668
57875,衡南,112.5,26.883333333333333
57876,耒阳,112.85,26.4
57881,安仁,113.25,26.716666666666665
57882,茶陵,113.55,26.783333333333335
57886,炎陵,113.78333333333333,26.5
57887,永兴,113.11666666666666,26.133333333333333
57889,桂东,113.95,26.083333333333332
57962,双牌,111.65,25.966666666666665
57965,道县,111.6,25.533333333333335
57966,宁远,111.95,25.6
57969,江永,111.33333333333333,25.266666666666666
57971,新田,112.2,25.916666666666668
57972,郴州,113.03333333333333,25.8
57973,桂阳,112.71666666666667,25.75
57974,嘉禾,112.36666666666666,25.583333333333332
57975,蓝山,112.2,25.383333333333333
57976,宜章,112.95,25.416666666666668
57978,临武,112.55,25.283333333333335
57981,资兴,113.21666666666667,25.983333333333334
57985,汝城,113.68333333333334,25.566666666666666
59063,江华,111.45,25.183333333333334
50936,白城,122.83333333333333,45.63333333333333
50939,洮南,122.81666666666666,45.333333333333336
50940,镇赉,123.16666666666667,45.85
50945,大安,124.26666666666667,45.5
50946,松原,124.83333333333333,45.18333333333333
50948,乾安,124.01666666666667,45.0
50949,前郭,124.86666666666666,45.083333333333336
54041,通榆,123.06666666666666,44.78333333333333
54049,长岭,123.96666666666667,44.25
54063,扶余,126.0,44.96666666666667
54064,农安,125.16666666666667,44.416666666666664
54065,德惠,124.66666666666667,44.53333333333333
54069,九台,125.8,44.166666666666664
54072,榆树,126.53333333333333,44.833333333333336
54076,舒兰,126.93333333333334,44.416666666666664
54142,双辽,123.53333333333333,43.5
54154,梨树,124.3,43.35
54156,公主岭,124.8,43.516666666666666
54157,四平,124.33333333333333,43.18333333333333
54161,长春,125.21666666666667,43.9
54164,伊通,125.28333333333333,43.35
54165,双阳,125.65,43.5
54169,烟筒山,126.01666666666667,43.3
54171,永吉,126.51666666666667,43.7
54172,吉林,126.46666666666667,43.95
54181,蛟河,127.33333333333333,43.7
54186,敦化,128.2,43.36666666666667
54187,安图,128.91666666666666,43.11666666666667
54192,罗子沟,130.25,43.7
54195,汪清,129.76666666666668,43.333333333333336
54260,辽源,125.08333333333333,42.916666666666664
54261,东丰,125.45,42.68333333333333
54263,磐石,126.05,42.96666666666667
54266,梅河口,125.63333333333334,42.53333333333333
54267,柳河,125.73333333333333,42.25
54273,桦甸,126.75,42.983333333333334
54274,辉南,126.06666666666666,42.68333333333333
54276,靖宇,126.81666666666666,42.35
54284,东岗,127.56666666666666,42.1
54285,松江,128.25,42.53333333333333
54286,和龙,129.0,42.53333333333333
54287,天池,128.08333333333334,42.016666666666666
54290,龙井,129.4,42.766666666666666
54291,珲春,130.28333333333333,42.9
54292,延吉,129.46666666666667,42.88333333333333
54293,图们,129.83333333333334,42.95
54362,通化县,125.75,41.666666666666664
54363,通化,125.9,41.68333333333333
54371,白山,126.43333333333334,41.93333333333333
54374,临江,126.91666666666667,41.8
54377,集安,126.15,41.1
54386,长白,128.18333333333334,41.416666666666664
54155,孤家子,124.23333333333333,43.666666666666664
58012,丰县,116.58333333333333,34.68333333333333
58013,沛县,116.91666666666667,34.71666666666667
58026,邳州,117.95,34.3
58027,徐州,117.15,34.28333333333333
58028,徐州农试站,117.15,34.28333333333333
58035,新沂,118.35,34.35
58036,东海,118.73333333333333,34.516666666666666
58038,沭阳,118.75,34.1
58040,赣榆,119.11666666666666,34.833333333333336
57361,保康,111.26666666666667,31.883333333333333
57362,神农架,110.66666666666667,31.75
57363,南漳,111.83333333333333,31.783333333333335
57368,远安,111.63333333333334,31.066666666666666
57370,宜城,112.23333333333333,31.716666666666665
57377,荆门,112.2,31.05
57378,钟祥,112.56666666666666,31.166666666666668
57381,随州,113.38333333333334,31.716666666666665
57385,广水,113.81666666666666,31.616666666666667
57387,京山,113.11666666666666,31.016666666666666
57388,安陆,113.7,31.266666666666666
57389,云梦,113.75,31.033333333333335
57395,大悟,114.11666666666666,31.566666666666666
57398,红安,114.61666666666666,31.283333333333335
57399,麻城,115.01666666666667,31.183333333333334
57439,利川,108.93333333333334,30.283333333333335
57445,建始,109.71666666666667,30.6
57447,恩施,109.46666666666667,30.283333333333335
57453,宜昌县,111.31666666666666,30.766666666666666
57458,五峰,110.66666666666667,30.2
57460,当阳,111.78333333333333,30.816666666666666
57461,宜昌,111.3,30.7
57462,三峡,111.08333333333333,30.866666666666667
57464,长阳,111.18333333333334,30.466666666666665
57465,宜都,111.45,30.383333333333333
